,Unnamed: 0,Unnamed: 0.1,Session:Name,Record #,Speaker,Orthography,Segment,Notes,situation,Session,start_time,end_time,start_seconds,end_seconds,pre_utt,pre_speaker,post_starttime,post_utt,post_speaker,pause_after,SpeechAct,ClauseType,comments
606,606,606,Alex.030516,607,Mother,you're so silly .,000:00.000-000:00.000,,[],Alex030516,000:00.000,000:00.000,0.0,0.0,okay let go .,Alex,1158.353,uhoh .,Alex,1158.353,,,
607,607,607,Alex.030516,608,Alex,uhoh .,019:18.353-019:20.353,,[],Alex030516,019:18.353,019:20.353,1158.353,1160.353,you're so silly .,Mother,0.0,uhoh come here oh no come here .,Mother,-1160.353,,,
608,608,608,Alex.030516,609,Mother,uhoh come here oh no come here .,000:00.000-000:00.000,,[],Alex030516,000:00.000,000:00.000,0.0,0.0,uhoh .,Alex,1160.353,pick it up pick it up !,Mother,1160.353,,,
609,609,609,Alex.030516,610,Mother,pick it up pick it up !,019:20.353-019:21.515,,[],Alex030516,019:20.353,019:21.515,1160.353,1161.515,uhoh come here oh no come here .,Mother,1161.516,oh .,Alex,0.0009999999999763534,,,
610,610,610,Alex.030516,611,Alex,oh .,019:21.516-019:22.885,,[],Alex030516,019:21.516,019:22.885,1161.516,1162.885,pick it up pick it up !,Mother,1162.885,don't let it drag .,Mother,0.0,,,
611,611,611,Alex.030516,612,Mother,don't let it drag .,019:22.885-019:24.426,,[],Alex030516,019:22.885,019:24.426,1162.885,1164.4260000000004,oh .,Alex,1164.428,come here alright .,Mother,0.00200000000018008,,,
612,612,612,Alex.030516,613,Mother,come here alright .,019:24.428-019:25.401,,[],Alex030516,019:24.428,019:25.401,1164.428,1165.401,don't let it drag .,Mother,1165.401,no yyy .,Alex,0.0,,,
613,613,613,Alex.030516,614,Alex,no yyy .,019:25.401-019:28.075,,[],Alex030516,019:25.401,019:28.075,1165.401,1168.075,come here alright .,Mother,0.0,that's just leaves .,Mother,-1168.075,,,
614,614,614,Alex.030516,615,Mother,that's just leaves .,000:00.000-000:00.000,,[],Alex030516,000:00.000,000:00.000,0.0,0.0,no yyy .,Alex,1168.075,I will fix it .,Mother,1168.075,,,
615,615,615,Alex.030516,616,Mother,I will fix it .,019:28.075-019:29.890,,[],Alex030516,019:28.075,019:29.890,1168.075,1169.89,that's just leaves .,Mother,1169.89,clean it right up .,Mother,0.0,,,
616,616,616,Alex.030516,617,Mother,clean it right up .,019:29.890-019:32.266,,[],Alex030516,019:29.890,019:32.266,1169.89,1172.266,I will fix it .,Mother,1172.266,it's hard to wear this out here .,Mother,0.0,,,
617,617,617,Alex.030516,618,Mother,it's hard to wear this out here .,019:32.266-019:35.516,,[],Alex030516,019:32.266,019:35.516,1172.266,1175.516,clean it right up .,Mother,1175.516,I'll take these leaves right off .,Mother,0.0,,,
618,618,618,Alex.030516,619,Mother,I'll take these leaves right off .,019:35.516-019:38.646,,[],Alex030516,019:35.516,019:38.646,1175.516,1178.646,it's hard to wear this out here .,Mother,1178.646,see they fall right off .,Mother,0.0,,,
619,619,619,Alex.030516,620,Mother,see they fall right off .,019:38.646-019:41.270,,[],Alex030516,019:38.646,019:41.270,1178.646,1181.27,I'll take these leaves right off .,Mother,1181.27,leaves leaves leaves .,Mother,0.0,,,
620,620,620,Alex.030516,621,Mother,leaves leaves leaves .,019:41.270-019:42.970,,[],Alex030516,019:41.270,019:42.970,1181.27,1182.97,see they fall right off .,Mother,1182.97,yyy yyy there .,Alex,0.0,,,
621,621,621,Alex.030516,622,Alex,yyy yyy there .,019:42.970-019:45.158,,[],Alex030516,019:42.970,019:45.158,1182.97,1185.158,leaves leaves leaves .,Mother,1185.158,I know .,Mother,0.0,,,
622,622,622,Alex.030516,623,Mother,I know .,019:45.158-019:46.953,,[],Alex030516,019:45.158,019:46.953,1185.158,1186.953,yyy yyy there .,Alex,1186.953,they fall out of the tree .,Mother,0.0,,,
